일련번호,주소,썸네일,제목,내용,제목_키워드,태그2,태그3,작성일,작성자
1,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/234654,https://www.itworld.co.kr/files/ciokr/2022/04/GettyImages-1074481820.300x240.jpg,"“오라클 시들, 아마존 상승세” 2022 자바 생태계 현황 보고서","뉴 렐릭(New Relic)의 ‘2022 자바 생태계 현황 보고서(2022 State of the Java Ecosystem)’에 따르면 오라클 자바(Oracle JDK) 사용률이 34%로 떨어졌고, 아마존은 22%로 증가했다.?
?...",자바,오픈JDK,오라클,2022.05.02,Jonny Evans
2,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235064,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-863318120.300x240.jpg,“파이썬과  HTML의 결합” 아나콘다 ‘파이스크립트’ 공개,과학 계산용 파이썬 배포판을 개발하는 아나콘다(Anaconda)가 파이콘 US 2022(PyCon US 2022)에서 ‘파이스크립트(PyScript)’ 프로젝트를 발표했다. 업체에 따르면 파이스크립트는 사용자가 파이썬과 표준 HTML을 결합하여 브라우...,파이썬,파이스크립트,아나콘다,2022.05.04,Serdar Yegulalp
3,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235439,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1225364898.300x240.jpg,하이브리드 업무 환경에서 애자일 스프린트 리뷰ㆍ회고를 개선하는 방법,애자일 방법론을 이용하면 자기조직화 팀이 고객에게 집중하고 증분 형식으로 결과물을 배포하면서 피드백을 활용해 우선순위를 조절할 수 있다. 가장 보편적인 애자일 방법론은 소규모 팀이 1~4주 단위의 스프린트로 작업하는 스크럼(scrum)이다. 이 방법론...,애자일,스프린트,하이브리드워크,2022.05.06,Neal Weinberg
4,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235284,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-853701224.300x240.jpg,"젯브레인, 게이트웨이ㆍ깃파드 통합…""모든 PC에서 클라우드로 작업 가능""","젯브레인의 원격 개발 솔루션 ‘젯브레인 게이트웨이(JetBrains Gateway)’가 ‘깃파드(Gitpod)’와 네이티브로 통합됐다. 깃파드는 코딩할 수 있는 개발 환경을 자동으로 구축해 주는 클라우드 기반 IDE 플랫폼이다.?
?...",젯브레인,젯브레인 IDE,통합 개발 환경,2022.05.06,Matthew Tyson
5,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235464,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-130409478.300x240.jpg,"자바스크립트 컨테이너, 리눅스 컨테이너의 대안 될까","디노 자바스크립트 및 타입스크립트 런타임을 개발한 라이언 달이 리눅스 컨테이너의 대안으로 ‘자바스크립트 컨테이너’와 ‘자바스크립트 샌드박스’의 가능성을 연구하고 있다고 밝혔다.?
?


지난 5월 4일(현지 시각) 블로그에서 그는 자...",자바스크립트 컨테이너,리눅스 컨테이너,컨테이너,2022.05.09,Serdar Yegulalp
6,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235704,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1167743222.300x240.jpg,“여기 백엔드 개발자가 있다” 백엔드 개발자 경험을 위한 솔루션 열전,"코드형 인프라와 데브옵스, 내부 플랫폼의 인기가 높아지면서 백엔드 개발자가 탄력적이면서 성능과 확장성이 우수한 서버 측 애플리케이션과 서비스를 구축하기에 훨씬 더 좋은 환경이 됐다. 그러나 너무 많은 부담을 짊어지고 있기도 하다.

현대 애플리케이션의...",개발자경험,백엔드,오픈소스,2022.05.10,Anirban Ghoshal
7,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235674,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-1227220126.300x240.jpg,"""왜 안 되는 걸까?"" 파이썬에서 기대할 수 없는 4가지 기능 개선","파이썬에는 높은 편의성과 다양하고 강력한 라이브러리, 친절한 사용자 커뮤니티 등 좋은 점이 많지만 몇 가지 부족한 부분도 여전히 있다. 파이썬 작업을 수월하게 해줄 수 있는, 다른 언어에 있는 여러 기능을 적어도 당분간은 파이썬에서 기대할 수 없다. ...",파이썬,개발자,,2022.05.10,Paul Krill
8,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235994,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1129884049.300x240.jpg,"""주피터부터 R스튜디오까지"" 데이터 과학자의 필수 아이템 8선","데이터 과학의 열기가 식을 줄 모른다. 한때 데이터를 수집하고 분석하는 일은 연구소에 있는 소수의 과학자만 할 수 있다고 여겨졌다. 하지만 이제는 모든 기업이 데이터 과학을 활용해 조직을 간소화하고 고객을 만족시키고 싶어 하며, 데이터 과학 관련 툴 ...",데이터 과학,데이터 애널리틱스,애널리틱스 도구,2022.05.11,Anirban Ghoshal
9,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235989,https://www.itworld.co.kr/files/itworld/ITW_202205_01/GettyImages-589415158.300x240.jpg,글로벌 칼럼 | 로우코드와 애플리케이션 복잡성 간의 상관관계,"여전히 로우코드에 대한 관심과 논란이 지속되고 있다. 많은 소프트웨어 개발자가 로우코드를 사용하면 애플리케이션의 개발 프로세스가 개선되는지, 아니면 애플리케이션 품질이 떨어지는지 잘 알지 못한다. 어떤 개발자는 로우코드가 보안에 미치는 영향을 우려하기...",로우코드,애플리케이션,개발,2022.05.11,Isaac Sacolick
10,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/235884,https://www.itworld.co.kr/files/itworld/ITW_202205_01/hot-and-cold_flames_water_yin-yang_hands-cupping-fire_by-image-by-jonny-lindner-via-pixabay-100827364-large-100923714-large-jpg.300x240.webp,"""GPU 기반 파이썬 머신러닝"" 파이토치(PyTorch)의 이해","파이토치(PyTorch)는 오픈소스 머신러닝 프레임워크로, 연구용 프로토타이핑과 프로덕션 환경에 모두 사용한다. 소스 코드 리포지토리에 따르면 파이토치의 가장 큰 특징은 다음 2가지다.
?

	강력한 GPU 가속을 활용해 텐서 계산(넘파이(N...",파이토치,PyTorch,,2022.05.11,Adam Bellemare
