,words,ranks
0,개발,11.763857393705582
1,클라우드,7.406431421811549
2,it,6.140395579108333
3,ai,6.105825567655209
4,소프트웨어,5.843144172889679
5,기업,5.841374827699402
6,디지털,5.521785264733894
7,데이터,5.353825421644336
8,자바,4.1164350206733005
9,서비스,3.60087905649948
10,보안,3.5706864940081444
11,애플리케이션,3.4785445780882136
12,플랫폼,3.426588431316258
13,공개,3.3416456308293707
14,이유,3.2554705990501756
15,글로벌,3.049081545544331
16,구글,2.9983932612967585
17,발표,2.9648800516236835
18,언어,2.9232163745494657
19,마이,2.6606720422393355
20,지원,2.5958128481448783
21,시장,2.566353818243877
22,비즈니스,2.5237743646814637
23,프로그래밍,2.4845678350268043
24,코드,2.341669753666207
25,추가,2.2071574585659395
26,기능,2.162068325510811
27,비주얼,2.097775205965005
28,출시,2.065714496715444
29,칼럼,2.0431607346937275
30,전문,2.0246342246442257
31,한국,1.998801821572067
32,블로그,1.882489747766297
33,머신러닝,1.8623893811596073
34,모바일,1.8491339756902936
35,버전,1.8476553577749928
36,트렌드,1.7678549891919304
37,서버,1.675066970101402
38,딜로이트,1.6627340585054249
39,검색,1.660913982156437
40,반도체,1.6559118380396254
41,인프라,1.6387331527234705
42,api,1.6092076017047336
43,깃허브,1.5722652999549562
44,오픈,1.5614285575633913
45,가트너,1.559347399515783
46,전략,1.549234123855407
47,분석,1.5328609544524232
48,data,1.5210055857620866
49,달러,1.5114996457418655
50,러스트,1.4901011724578148
51,파이썬,1.4669323835364083
52,게임,1.4518935876654697
53,업체,1.4440861241109162
54,제조,1.4197882302450004
55,ide,1.4035015679714857
56,스튜디오,1.3839056337219118
57,메타,1.3830839108766622
58,결과,1.3762881984870563
59,업계,1.358588640725093
60,그룹,1.3521894837226909
61,미래,1.3488104001852483
62,타입스크립트,1.34289310495152
63,앱을,1.336909216492165
64,eu,1.330647014668266
65,환경,1.3120435601889207
66,투자,1.3096360256650739
67,아시아,1.3065304270927687
68,ci,1.2945352827238445
69,5g,1.2938497620448302
70,연구,1.2789096407673726
71,성장,1.2705950319476131
72,리더,1.2682355105047254
73,설계,1.258063285824528
74,노코드,1.2578295755903102
75,sw,1.2576878895080612
76,업무,1.2575538170012672
77,진행,1.2537154300820696
78,중국,1.2521198993760096
79,하이브리드,1.2374464092336082
80,분야,1.2315063479499258
81,윈도우,1.2232702343951343
82,가능,1.2116459936430286
83,미디어,1.2084818858017368
84,고객,1.2054143914237225
85,테스트,1.1952764719653657
86,조사,1.1814943184224216
87,채용,1.1792741254132206
88,마케팅,1.173231793785256
89,증가,1.1723699960067253
90,시스템,1.1687433988306788
91,js,1.1526767484064666
92,베스트,1.1416590447907424
93,무료,1.140105773935949
94,현대화,1.1328721444722212
95,자동,1.13013893215156
96,회사,1.1229177904308658
97,혁신,1.1184441165760308
98,사이버,1.1147929871668283
99,근무,1.110983502766473
