,words,ranks
0,개발,24.219529035247707
1,있습니다,11.871861593275362
2,데이터,10.803484822531267
3,합니다,10.584451642601907
4,보안,7.512929517894016
5,글에서는,7.034428274193183
6,코드,6.010733460042289
7,소프트웨어,5.215646418382924
8,프로,5.153331754756266
9,쿠버네티스,4.127155488964215
10,오늘은,3.9847270846669187
11,알아,3.4725292617966694
12,살펴,3.4591322179014767
13,주니어,3.3114753835385837
14,프론트엔드,3.3013293251037186
15,api,3.20407458867859
16,github,3.1401684639617815
17,자바,3.028037573874777
18,것입니다,2.9613302337920713
19,design,2.726706304446085
20,가지,2.674256404220683
21,문제,2.649555212520642
22,도구,2.607099533972224
23,분석,2.5935813623787225
24,도커,2.5623738840422137
25,서비스,2.5386696132879663
26,여기보기,2.482242848456599
27,환경,2.477002787066483
28,클라우드,2.452893637027311
29,코딩,2.435987430781515
30,서버,2.3505355588757966
31,http,2.314953679806142
32,정보를,2.28575813335426
33,애플리케이션,2.272568478768369
34,사람,2.265207406207285
35,기업,2.244734075655261
36,보면,2.1852156428388665
37,설계,2.178266976968764
38,주인공은,2.1720995727039876
39,직접,2.149765997045751
40,jetpack,2.1225273409870407
41,우리는,2.1098457538246436
42,시스템,2.106681728928217
43,필요,2.1045662397457225
44,기본,2.101170583254838
45,소개,2.0945787140945535
46,만들,2.0774140416170677
47,언어,2.0338209026247185
48,공부,2.0317437794349145
49,중요한,2.029562448733237
50,이야기,2.0058686125438934
51,있을,2.0020405007165314
52,chatgpt,2.002035377598193
53,인터뷰,1.9743823329966017
54,사이버,1.9651781317913652
55,시큐어,1.9500091872111613
56,기능,1.92613789464356
57,내용을,1.9084700825996972
58,ai,1.8968735669724768
59,공격,1.8333692263042591
60,것을,1.8302935916872918
61,데브섹옵스,1.8085936004211636
62,작성,1.7925567303268495
63,시간을,1.776791602523954
64,사실,1.7536778135192028
65,aws,1.7422995448918326
66,안전한,1.7186659766669603
67,페어,1.7153712757122164
68,엔진,1.7106625745368365
69,이미,1.709043176198
70,언리얼,1.691902611419918
71,해결,1.6764887258557928
72,data,1.6753025635049035
73,영향을,1.6638308460492994
74,구현,1.6617072975714686
75,java,1.6560803794418808
76,보겠습니다,1.6522505014454505
77,운영,1.6153689730211664
78,정리,1.6074171801823418
79,game,1.5836921894938096
80,테스트,1.5777745625643007
81,통신,1.5612663108694242
82,머신러닝,1.555506596282345
83,과정,1.5554152434647293
84,있으며,1.5422917874708912
85,대부분,1.5406026273027988
86,생각,1.5329625526039825
87,있기,1.5166670430523017
88,저는,1.5084530570879346
89,그렇다면,1.507817200369439
90,아니라,1.5041029432221174
91,트리,1.4945379206993197
92,ui를,1.483919901611821
93,관해,1.4824452420024743
94,이메일,1.4646399527013343
95,web,1.4588173576867205
96,리뷰,1.445610540267515
97,됩니다,1.4429742672662087
98,없이,1.4423336722348234
99,지원,1.4315184106903986
