,words,ranks
0,네이버,16.97884280725038
1,카카오,14.721183431756716
2,플랫폼,10.637819459180003
3,서비스,8.862532036057049
4,글로벌,5.776288569269039
5,기업,4.962140091814388
6,검색,3.7627319972800866
7,사업,3.717347649414482
8,ai,3.668051888636495
9,시장,3.3657414220469883
10,콘텐츠,3.0457174920037513
11,열린,3.038379435296613
12,커머스,3.002163518010635
13,비대면,2.9434591127190672
14,뉴스,2.839450233571398
15,이유,2.8207274278370247
16,기준,2.787066516331501
17,진료,2.770494598637216
18,메타,2.746501510165175
19,정보,2.7328744444417237
20,대표,2.7150516583527704
21,계획이다,2.7098817768557764
22,자회사,2.70788998179285
23,광고,2.686205047218971
24,모바일,2.618369243728131
25,게임,2.603171605132001
26,사용자,2.356029395635689
27,방안,2.34581886823298
28,운영,2.2956473856359696
29,국내,2.2899290109750674
30,인수,2.2661409723296555
31,3분기,2.1802936991275614
32,예정이다,2.1252828074325265
33,이달,2.055955246269719
34,온라인,1.9754451707520855
35,개발,1.9686371902739408
36,배달,1.9684912183553198
37,투자,1.9667607258100412
38,gs,1.9404497295604006
39,출시,1.8701758065402965
40,물류,1.8379574787323052
41,보상,1.8378121433690708
42,iec,1.8240724542424291
43,국회,1.793799110380768
44,생태계,1.7323329968472203
45,리뷰,1.7323283381171781
46,기존,1.7250199816626681
47,됐다,1.7120258563128714
48,자사,1.6976230377880488
49,판매,1.676267501446803
50,오픈,1.6743059762111203
51,브랜드,1.655978084446624
52,해외,1.6500827415093497
53,공개,1.6340700871202838
54,사회적,1.6317929491289558
55,이날,1.6203977870688027
56,추천,1.6072212783138928
57,cic,1.5690042186631685
58,회사의,1.5599013508426598
59,디지털,1.558589154606619
60,김범수,1.5537931839617363
61,3d,1.509863874221176
62,커뮤니티,1.4894571240698085
63,서울,1.4865163112777795
64,피해,1.4629567926562999
65,진행,1.462682529317242
66,배민,1.4624058848766501
67,구글,1.4500333469213644
68,계열사,1.4472055025866317
69,과학기술정보통신부,1.4444126950769154
70,민간,1.4303431530909267
71,구독,1.4170729614854443
72,영업,1.4122458301740561
73,장애,1.409333463715078
74,c2c,1.3881732176976724
75,전략,1.3640004403571582
76,공시한,1.3520409940401006
77,조직을,1.3371002753553949
78,미글루,1.3330460466553071
79,실적,1.3314093914720697
80,자율,1.323703058745238
81,개편,1.3221451120369019
82,과기정통부,1.3208536983188703
83,구매,1.3195679646711644
84,팝업,1.314448867374538
85,상품,1.3036789917845626
86,복지부,1.2980463688338224
87,쇼핑,1.294404853290275
88,투명성,1.2899466051771675
89,전문,1.2895801359627943
90,코로나19,1.2822701737881368
91,b2b,1.2818133243825107
92,센터,1.274805709442961
93,pc,1.2672155335710444
94,여행,1.2637650753493563
95,발표,1.2607162866660837
96,요약된다,1.2544000134344864
97,폐지,1.2535372515346315
98,성장,1.2425351501849842
99,발생한,1.240638399114864
