,words,ranks
0,언어,76.77639273575289
1,개발,60.5976948813511
2,프로,56.461848207116276
3,ai,48.242664421467104
4,데이터,44.36424343182062
5,기업,35.15625521746767
6,코딩,33.37701140126384
7,한편,26.469539506474625
8,보안,26.030425124385214
9,순위,25.08760957707378
10,구글,24.37766605523099
11,매체,24.268803577723567
12,코드,24.02977839997538
13,플랫폼,23.695077418171643
14,tiobe,23.16799303636434
15,애플,22.915181608526368
16,출처,22.479516514781295
17,서비스,22.360536509961797
18,nft,22.153368836714527
19,지수,20.81607824000843
20,지원,20.5353403608023
21,인기,19.917932259120427
22,기능,19.871673985472746
23,분석,19.300041582748506
24,테크,18.459767962477166
25,티오베,17.913980212439782
26,디지털,17.790171064858697
27,시장,17.63696523290589
28,학습,17.50634877438319
29,메타,17.281762687579185
30,문제,16.95124475889885
31,전문,16.476205169939387
32,pyp,16.00680549829914
33,교육,15.713227588344932
34,검색,15.494601378397599
35,생성,15.034528273488627
36,파이썬,14.854825479438459
37,공식,14.63042656800981
38,중국,14.231341916873031
39,이미,14.097195373336785
40,게임,14.096456130610282
41,결과를,14.060604055086975
42,연구,14.055946411072771
43,이에,13.852328437017
44,정보,13.737204113892373
45,language,13.478016720180412
46,자바,13.415191508229059
47,투자,13.411273927713001
48,이어,13.33608277358053
49,사이버,13.19090186041697
50,기존,13.090620471234157
51,가능,12.96261466809561
52,신규,12.91012519521461
53,시스템,12.873365267662559
54,제품,12.492620380059925
55,출시,12.2586470448521
56,과정,12.158017242187618
57,말했다,12.10373120225117
58,소프트,11.996148986649658
59,암호화,11.936817045646281
60,in,11.785176249181019
61,가상,11.605345582994092
62,programming,11.467226744739309
63,사실을,11.320328302622844
64,스마트,11.274538952849834
65,기준,11.210087613717027
66,일부,11.108450386016786
67,인공,11.050905646426276
68,증가,11.036599218589448
69,모델,10.960168323680305
70,것을,10.951024300632145
71,운영,10.87183469869498
72,추가,10.697374147601339
73,업계,10.430731951596849
74,공격,10.404707872664998
75,공개,10.345139693493639
76,매우,10.276264461302821
77,컴퓨터,10.184911261170884
78,오픈,10.09802210533839
79,도움을,9.916536231036478
80,작업,9.852031782222278
81,기기,9.830282564638662
82,온라인,9.806006402673168
83,그는,9.782900725149979
84,로봇,9.727746284283858
85,글로벌,9.71853196074292
86,고객,9.574243420484477
87,자동,9.522116942093875
88,마이,9.348697560313086
89,콘텐츠,9.34319071342791
90,필요,9.280556277119782
91,달러,9.083506394280624
92,and,8.927061517317224
93,실제,8.846129079573398
94,ceo,8.795165050698635
95,개인,8.788577525541665
96,영상,8.783965446597733
97,분야,8.690433715978841
98,it,8.562951234099991
99,ar,8.416383550842582
