,words,ranks
0,개발,24.219529035247707
1,데이터,10.803484822531267
2,보안,7.512929517894016
3,코드,6.010733460042289
4,소프트웨어,5.215646418382924
5,프로,5.153331754756266
6,쿠버네티스,4.127155488964215
7,주니어,3.3114753835385837
8,프론트엔드,3.3013293251037186
9,api,3.20407458867859
10,github,3.1401684639617815
11,자바,3.028037573874777
12,design,2.726706304446085
13,가지,2.674256404220683
14,문제,2.649555212520642
15,도구,2.607099533972224
16,분석,2.5935813623787225
17,도커,2.5623738840422137
18,서비스,2.5386696132879663
19,여기보기,2.482242848456599
20,환경,2.477002787066483
21,클라우드,2.452893637027311
22,코딩,2.435987430781515
23,서버,2.3505355588757966
24,http,2.314953679806142
25,애플리케이션,2.272568478768369
26,사람,2.265207406207285
27,기업,2.244734075655261
28,설계,2.178266976968764
29,jetpack,2.1225273409870407
30,시스템,2.106681728928217
31,기본,2.101170583254838
32,소개,2.0945787140945535
33,언어,2.0338209026247185
34,공부,2.0317437794349145
35,이야기,2.0058686125438934
36,chatgpt,2.002035377598193
37,인터뷰,1.9743823329966017
38,사이버,1.9651781317913652
39,시큐어,1.9500091872111613
40,기능,1.92613789464356
41,ai,1.8968735669724768
42,공격,1.8333692263042591
43,데브섹옵스,1.8085936004211636
44,작성,1.7925567303268495
45,aws,1.7422995448918326
46,페어,1.7153712757122164
47,엔진,1.7106625745368365
48,이미,1.709043176198
49,언리얼,1.691902611419918
50,data,1.6753025635049035
51,영향을,1.6638308460492994
52,구현,1.6617072975714686
53,java,1.6560803794418808
54,운영,1.6153689730211664
55,정리,1.6074171801823418
56,game,1.5836921894938096
57,테스트,1.5777745625643007
58,통신,1.5612663108694242
59,머신러닝,1.555506596282345
60,생각,1.5329625526039825
61,트리,1.4945379206993197
62,web,1.4588173576867205
63,리뷰,1.445610540267515
64,지원,1.4315184106903986
65,네트워,1.4188558038254904
66,사고,1.4064367645096225
67,브라우저,1.4053875206814936
68,실제,1.3905208584230748
69,경우,1.373784434458809
70,있지만,1.3687467619588092
71,성장,1.3667758672896944
72,컴퓨터,1.358640777068334
73,이제,1.3556679855129352
74,진행,1.3552721008165647
75,설명해,1.3522238401646773
76,아키텍처,1.3461850693321762
77,구축,1.3396293447625056
78,앱을,1.3285739358677708
79,성능,1.3242318218338642
80,매우,1.321676012266388
81,되는,1.3198183941229202
82,이유,1.301674711394146
83,싶은,1.2985984983001275
84,모놀리식,1.2943653864320148
85,파일,1.2940157403563646
86,it,1.2919686168486333
87,유연한,1.2833533684692249
88,파이,1.2780657644296491
89,깃허브,1.2573996526298519
90,접근,1.2522132158347818
91,신입,1.2477258782421865
92,리더,1.2362404634600246
93,방식을,1.228687629240767
94,쉬운,1.228353361940866
95,요즘,1.227968482602869
96,일이,1.2278847899246013
97,ott,1.2212988078784743
98,글을,1.217099772526295
99,지금,1.2158742535436642
