,words,ranks
3,기업,75.11909960174617
4,언어,74.53796031960772
5,프로,70.44833177157841
6,서비스,64.08721716856004
7,플랫폼,54.83566898177795
8,보안,51.52459386669256
9,디지털,44.60839015102332
10,지원,39.83489404454099
11,솔루션,37.091470877494
12,시장,35.185738844827554
13,글로벌,33.150749209106394
14,코딩,32.463303337807965
15,클라,31.11732041100281
16,출시,29.68819564151322
17,사업,29.68423985164197
18,전문,29.49998348549639
19,구글,29.210875497126235
20,분석,28.810281276850393
21,기능,28.04826399266618
22,애플,26.448870160488184
23,시스템,25.81746062353551
24,코드,25.629419795631296
25,국내,25.306632587514056
26,메타,25.016127087030696
27,nft,24.97134839575727
28,공개,24.900527779420695
29,한편,24.52295003549079
30,순위,23.792695336058173
31,연구,23.678696267045492
32,운영,22.63676782472896
33,제품,22.44261886076286
34,매체,22.398692723571326
35,tiobe,22.059103627682827
36,구축,21.981583296752387
37,기존,21.902389848067347
38,교육,21.878991942800006
39,스마트,21.84241426075394
40,정보,21.689074531267035
41,고객,21.573185217951643
42,사이버,21.47018419678195
43,투자,21.315496626682034
44,발표,21.005909518616406
45,지수,20.767847248303507
46,테크,20.305311470627867
47,산업,20.27688850493955
48,분야,20.065210340692403
49,출처,19.97190461508019
50,소프트,19.8136003609321
51,인기,19.777267003926916
52,학습,19.627227605030367
53,it,19.188752495791277
54,문제,19.00037872330885
55,인공,18.905689626968712
56,신규,18.561192264050646
57,통합,18.44610892577133
58,생성,18.440808699178465
59,검색,18.042592190582322
60,공식,17.819083763402986
61,오픈,17.78188197814048
62,콘텐츠,17.72100601605634
63,가능,17.49870386134955
64,이미,17.158386430987445
65,티오베,16.95752351498101
66,게임,16.71172475446476
67,공급,16.699218878179497
68,협력,16.688760523465643
69,로봇,16.682399361050916
70,이어,16.64432152960981
71,체결,16.633259538378415
72,모델,16.551366154982528
73,한국,16.42573942684947
74,진행,16.37040037430334
75,자동,16.257970102899364
76,증가,16.23968172581411
77,가상,16.01497223838022
78,이에,15.8043738252086
79,업무,15.613871268715476
80,비즈니스,15.574120237216114
81,pyp,15.40937653846795
82,결과,15.407129620221637
83,온라인,15.393634399741313
84,환경,15.23960975539205
85,네이버,15.134397393020285
86,추가,15.12797957962526
87,자바,14.813410083860733
88,중국,14.774130819549269
89,in,14.624915781413502
90,기준,14.400070243771744
91,파이썬,14.377338953251286
92,적용,14.01159883570189
93,확장,13.890996284243908
94,영상,13.844890457037922
95,마이,13.738497199816058
96,업계,13.699190678248238
97,했다,13.597185247027099
98,language,13.498563058501023
99,혁신,13.468302356518498
