,words,ranks
50,소프트,19.8136003609321
51,인기,19.777267003926916
52,학습,19.627227605030367
53,it,19.188752495791277
54,문제,19.00037872330885
55,인공,18.905689626968712
56,신규,18.561192264050646
57,통합,18.44610892577133
58,생성,18.440808699178465
59,검색,18.042592190582322
60,공식,17.819083763402986
61,오픈,17.78188197814048
62,콘텐츠,17.72100601605634
63,가능,17.49870386134955
64,이미,17.158386430987445
65,티오베,16.95752351498101
66,게임,16.71172475446476
67,공급,16.699218878179497
68,협력,16.688760523465643
69,로봇,16.682399361050916
70,이어,16.64432152960981
71,체결,16.633259538378415
72,모델,16.551366154982528
73,한국,16.42573942684947
74,진행,16.37040037430334
75,자동,16.257970102899364
76,증가,16.23968172581411
77,가상,16.01497223838022
78,이에,15.8043738252086
79,업무,15.613871268715476
80,비즈니스,15.574120237216114
81,pyp,15.40937653846795
82,결과,15.407129620221637
83,온라인,15.393634399741313
84,환경,15.23960975539205
85,네이버,15.134397393020285
86,추가,15.12797957962526
87,자바,14.813410083860733
88,중국,14.774130819549269
89,in,14.624915781413502
90,기준,14.400070243771744
91,파이썬,14.377338953251286
92,적용,14.01159883570189
93,확장,13.890996284243908
94,영상,13.844890457037922
95,마이,13.738497199816058
96,업계,13.699190678248238
97,했다,13.597185247027099
98,language,13.498563058501023
99,혁신,13.468302356518498
