"idx","news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr"
15,"2023.05.25 15:50",디지서트 오라클과 협력…OCI에서 ‘디지서트 원’ 제공한다,디지서트가 오라클과 ‘디지서트 원’을 ‘오라클 클라우드인프라스트럭처(OCI)’에서 제공하는 파트너십을 체결했다고 발표했다. 이번 파트너십으로 양사 고객사는 단일 아키텍처에서 디지털 신뢰 이니셔티브를 관리해 정보보안을 강화하고 엄격한 컴플라이언스를 준수할 수 있게 됐다.디지서트 원은 일원화된 중앙관리 아키텍처에서 고객이 사용자 디바이스 서버 문서 소프트웨어 등을 보호할 수 있도록 지원한다.멀티테넌트 클라우드네이티브 서비스형 소프트웨어(SaaS) 플랫폼으로 필요한 경우 고객의 프라이빗 클라우드나 온프레미스에 배포할 수 있는,https://www.itbiznews.com//news/articleView.html?idxno=100116,오현식,"#디지서트,#오라클,#OCI",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100116_96021_2344_v150.jpg
16,"2023.05.24 15:00",韓 사용자 신용카드 정보 암시장서 평균 2.66달러에 거래된다,노드VPN이 온라인 암거래 시장인 다크웹에서의 신용카드 정보 거래에 대한 분석결과를 발표했다. 이에 따르면 다크웹에서는 우리나라 사용자가 보유한 1만123개의 신용카드 정보 거래가 확인됐다.노드VPN은 다크웹에서 6백만개의 신용카드 정보 거래를 발견했는데 이 중 1만123개가 국내 사용자의 신용카드 정보였다. 이는 전세계 30위 아시아 국가에서는 7위에 해당한다. 또 우리나라 사용자의 신용카드 정보는 개당 약 2.66달러(약 3516원)에 거래됐다.특히 절반에 해당하는 5천여건은 신용카드번호 외에도 주민등록번호 집 주소,https://www.itbiznews.com//news/articleView.html?idxno=99953,오현식,"#다크웹,#정보유출,#정보노출,#사이버 위협,#노드VPN",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99953_95926_4933_v150.jpg
17,"2023.05.24 07:00",리플 CBDC·스테이블코인 개발 지원 ‘CBDC 플랫폼’ 론칭,리플이 중앙은행 정부 금융기관의 자체적인 중앙은행디지털화폐(CBDC) 발행을 지원하는 엔드투엔드 솔루션 ‘리플 CBDC 플랫폼’을 출시했다고 밝혔다.XRP레저(XRPL)와 동일한 블록체인 기술을 활용해 법정화폐 기반 CBDC의 전체수명주기 거래 유통을 종합 관리하고 커스터마이징할 수 있도록 지원하는 플랫폼이다.CBDC 플랫폼은 XRPL로 구동되고 프라이빗 레저에 구축돼 중앙은행 금융당국 상업 은행 등의 발행자는 법정화폐 기반 디지털 화폐의 수명주기 전체를 관리할 수 있도록 지원한다. 수명주기에는 디지털 화폐의 생성과 유통,https://www.itbiznews.com//news/articleView.html?idxno=99756,오현식,"#리플,#디지털자산,#디지털화폐,#CBDC,#중앙은행디지털화폐,#가상자산",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99756_95642_938_v150.jpg
18,"2023.05.23 13:00",주니퍼 미스트 접근보장 서비스 발표…“클라우드 연결 보안성 강화에 초점”,주니퍼네트웍스가 인공지능(AI) 기반 엔터프라이즈 포트폴리오에 ‘주니퍼 미스트 접근보장 서비스’를 추가한다고 발표했다. 이 서비스는 주니퍼 미스트AI와 마이크로서비스 클라우드를 활용해 종합적인 네트워크접근제어(NAC) 정책 관리 기능을 제공한다. 주니퍼가 이번에 공개한 미스트 접근보장은 기본적으로 네트워크에 통합돼 게스트와 사물인터넷(IoT) 장치 등에 대한 안전한 네트워크 접근성을 제공하는 서비스다.특히 802.1X 표준을 기반으로 사용자/디바이스 ID 직무 위치 정보 컨텍스트를 확인하고 제로트러스트 원칙에 따른 ID 기반,https://www.itbiznews.com//news/articleView.html?idxno=99732,오현식,"#주니퍼,#NAC,#네트워크접근제어,#네트워크 보안",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99732_95767_5143_v150.jpg
19,"2023.05.18 09:33",SKT IDQ·엑스게이트와 양자암호통신 기반 VPN 개발,SK텔레콤이 SK스퀘어 자회사 IDQ 국내 최고 수준의 네트워크 보안장비 회사 엑스게이트와 양자암호통신 기반 가상사설망(VPN) 기술 개발을 완료했다고 전했다.SK텔레콤은 엑스게이트의 VPN 서버 장비에 IDQ의 양자난수생성기(QRNG) 칩셋을 연동해 양자암호통신 기반 VPN을 개발했다. 강력한 보안성을 구현한 점이 큰 장점으로 올해 하반기 상용 서비스를 출시할 계획이다.VPN은 기업 혹은 기관의 내부 네트워크에서 주고받는 데이터를 보호하기 위해 활용되는 기술로 별도 전용망을 구축하는 것보다 저렴한 가격이 장점이다.특히 데이터 송,https://www.itbiznews.com//news/articleView.html?idxno=99414,김소현,"#보안,#네트워크,#양자암호,#QRNG,#VPN,#IDQ,#엑스게이트,#SK텔레콤",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99414_95296_108_v150.jpg
20,"2023.05.17 15:00",GCP ‘시큐리티 AI 워크벤치’ 출시…생성AI로 보안 강화,구글클라우드(GCP)가 새로운 보안 모델 ‘구글클라우드 시큐리티AI워크벤치’를 출시한다고 밝혔다. 이 모델은 보안에 특화된 대규모언어모델(LLM) ‘Sec-PaLM’을 탑재해 보안을 향상시키면서 편의성을 개선한 점이 특징이다.시큐리티AI워크벤치는 확장 가능한 플랫폼으로 다양한 보안 사용 사례에 맞게 미세 조정할 수 있다. 위협 환경에 대한 구글의 가시성과 취약성 멀웨어 위협지표와 위협 행위자 프로필에 대한 맨디언트의 최첨단 인텔리전스 등 구글의 보안 역량을 통합해 기업의 전반적인 보안 향상을 지원한다. 이외 구글의 개인정보보호,https://www.itbiznews.com//news/articleView.html?idxno=99168,오현식,"#구글클라우드,#GCP,#AI보안,#생성AI",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99168_95175_3759_v150.jpg
21,"2023.05.17 13:30",시큐아이 와이파이6E 지원 무선침입방지시스템(WIPS) 출시,시큐아이가 와이파이6E를 지원하는 무선침입방지시스템(WIPS) ‘블루맥스 WIPS’를 출시했다. 블루맥스 WIPS는 와이파이6E 대역에서의 무선위협에 대응해 네트워크 내부 자산을 안전하게 보호하도록 설계됐다.2.4GHz 5GHz를 사용하는 디바이스가 증가함에 따라 와이파이 6E에서는 6GHz 주파수 대역이 새롭게 추가됐다. 주파수 대역 혼잡도를 낮추기 위한 조치이지만 보안 측면에서는 2.4GHz 5GHz에 더해 6GHz 대역의 위협에 신속하게 대응해야 하는 과제를 남긴다. 시큐아이의 블루맥스 WIPS는 와이파이6E에서부터 필수,https://www.itbiznews.com//news/articleView.html?idxno=99177&page=2&total=1090,오현식,"#무선보안,#시큐아이,#와이파이6E,#Wi-Fi",https://www.cwn.kr./thumbnail/202305/99177_95076_5932_v150.jpg
22,"2023.05.16 15:11",아쿠아시큐리티 파이프라인 무결성 스캐닝 제공…“공급망 보안 강화”,아쿠아시큐리티가 ‘소프트웨어 파이프라인 무결성 스캐너’를 발표했다. 이 솔루션은 지속통합/지속배포(CI/CD) 파이프라인의 무결성을 보장하는 공급망 공격에 대응하도록 설계된 보안 솔루션이다.아쿠아시큐리티의 파이프라인 무결성 스캐너는 eBPF 기술을 기반으로 의심스러운 행태와 멀웨어를 실시간으로 탐지·차단하며 소프트웨어 빌드 프로세스 전방에서 코드 변조를 예방해 위협에 효과적으로 대응할 수 있다는 게 아쿠아시큐리티의 설명이다.아미르 저비 아쿠아시큐리티 CTO는 “솔라윈즈 사태로 소프트웨어 빌드 프로세스의 무결성이 침해됐을 때의 파괴적,https://www.itbiznews.com//news/articleView.html?idxno=99030&page=2&total=1090,오현식,"#아쿠아시큐리티,#공급망 보안,#소프트웨어 공급망 공격",https://www.cwn.kr./thumbnail/202305/99030_94933_1246_v150.jpg
23,"2023.05.16 14:00",복권사업 디지털 안전 지킨다…파수 복권수탁사업에 보안 솔루션 공급,파수가 ‘로또6/45’와 즉석식인쇄복권 등 복권위원회가 운영하는 복권사업의 수탁사업자로 파수가 참여한 ‘동행복권 컨소시엄’이 선정됐다고 전했다. 이에 파수는 내년부터 5년간 복권수탁사업 운영과 관련한 보안 부분 기획·구축·운영 등을 보안 전반을 담당한다.복권수탁사업은 로또6/45 등 복권위원회가 시행하고 있는 온라인복권과 즉석식인쇄복권 전자복권 등의 사업을 위탁 운영하는 것으로 사업 운영과 시스템 구축 운영 등을 포함한다.이번 5기 사업을 수주한 동행복권 컨소시엄에 참여한 파수는 전반적인 보안 진단과 컨설팅 기획 플래닝 실,https://www.itbiznews.com//news/articleView.html?idxno=99042&page=2&total=1090,오현식,"#파수,#로또,#복권운영,#정보보안,#사이버 공격",https://www.cwn.kr./thumbnail/202305/99042_94949_4914_v150.jpg
24,"2023.05.16 13:00",SK스퀘어 정보보호 국제표준 인증 ISO27001 획득,SK스퀘어가 정보보호 분야에서 권위 있는 국제표준 인증 ‘ISO27001’을 획득했다고 16일 밝혔다.ISO27001은 국제표준화기구(ISO)와 국제전기기술위원회(IEC)가 제정하는 정보보호 관리체계에 대한 국제표준 인증이다. 정보보호 정책 기술적·물리적 보안 수준 정보 접근 통제 등 133개 항목에 대한 엄격한 심사와 검증을 통과해야 인증을 받을 수 있다.SK스퀘어가 인증을 받은 범위는 경영 시스템 전반이다. SK스퀘어는 지난해 3월부터 1년 간 전사 역량을 집중해 글로벌 수준에 맞는 정보보호 경영시스템을 구축하고 인증 획득에,https://www.itbiznews.com//news/articleView.html?idxno=99134&page=2&total=1090,김소현,"#보안,#정보보호,#국제표준,#ISO27001,#SK스퀘어",https://www.cwn.kr./thumbnail/202305/99134_95038_2832_v150.jpg
