"idx","news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr"
10,"2023.05.30 10:41",LGU+ 노키아·삼지전자와 옥외·인빌딩 환경서 5G O-RAN 테스트 완료,LG유플러스가 노키아 삼지전자와 함께 옥외와 실내에서 5G 오픈랜(O-RAN) 기술 고도화를 위한 장비 테스트에 성공했다고 전했다.오픈랜은 기지국 등 무선 통신장비의 하드웨어(HW)와 소프트웨어(SW)를 분리해 서로 다른 제조사 장비 간 상호연동을 지원하는 표준기술이다.이 기술이 상용화되면 통신사업자는 비용절감 및 유연한 네트워크 구성이 가능하고 이용자 측면에서는 안정적인 네트워크를 이용할 수 있다는 장점이 있다. LG유플러스를 비롯한 3사는 옥외 환경에서 노키아의 분산장치(O-DU)와 삼지전자의 안테나(O-RU) 장비를 활용해,https://www.itbiznews.com//news/articleView.html?idxno=100575,김소현,"#5G,#네트워크,#오픈랜,#인빌딩,#테스트베드,#PoC,#노키아,#삼지전자,#LG유플러스",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100575_96505_3510_v150.jpg
11,"2023.05.26 10:30",주니퍼 가상 네트워크 어시스턴트에 ‘챗GPT’ 통합,주니퍼네트웍스는 미스트AI 기반의 가상네트워크어시스턴트(VNA) ‘마비스’에 생성 인공지능(AI) ‘챗GPT’를 통합한다고 발표했다. 이번 통합으로 주니퍼 고객사는 거대언어모델(LLM)을 사용해 손쉽게 자료를 검색하고 효과적으로 활용할 수 있게 됐다.마비스VNA는 자연어처리/이해(NLP/NLU)를 통한 선제적 문제 해결과 예측 조치를 지원하는 대화형 인터페이스를 제공한다. 챗GPT 같은 LLM 툴을 통합함으로써 마비스VNA의 대화형인터페이스(CI) 기능을 확장해 문서나 지원 문제에 대해 사람과 유사한 대화 기능을 활용할 수 있다는,https://www.itbiznews.com//news/articleView.html?idxno=100265,오현식,"#주니퍼,#와이파이6E,#챗GPT,#즘,#생성AI,#마비스,#가상네트워크어시스턴트,#VNA",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100265_96236_3953_v150.jpg
12,"2023.05.25 15:25",KT 에릭슨과 5G/LTE 안테나 결합 RU 상용망 PoC 완료,KT가 5G와 LTE 안테나가 결합된 신규 RU(Remote Unit)의 상용망 개념검증(PoC)을 완료했다고 25일 전했다. KT는 이번 검증에서 실제 사용환경에서 성능저하 없이 5G와 LTE 통신 커버리지 제공이 가능함을 확인했다.KT는 지난해 3월부터 에릭슨과 5G와 LTE 결합 신규 RU 개발 논의를 진행해왔다. 같은해 11월에는 스웨덴 에릭슨 연구소에서 신규 RU를 이용한 기술시연도 선보였다.신규 RU는 LTE 안테나 뒷면에 5G 안테나를 배치해 5G 신호가 LTE 패시브 안테나를 통과되는 구조로 설계 안테나가 차지하는,https://www.itbiznews.com//news/articleView.html?idxno=100182,김소현,"#5G,#네트워크,#빔포밍,#기지국,#안테나,#PoC,#에릭슨,#KT",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100182_96091_1619_v150.jpg
13,"2023.05.25 14:39",퓨어스토리지 미디어젠에 파일·오브젝트스토리지 공급,퓨어스토리지는 미디어젠에 통합 파일·오브젝트스토리지 플랫폼인 ‘플래시블레이드’를 공급했다고 밝혔다. 미디어젠은 인공지능(AI) 고도화 연구과제에서 학습 데이터를 빠르게 개발하고 학습 결과를 결합할 수 있는 데이터 스토리지 솔루션으로 퓨어스토리지의 플래시블레이드를 선택했다.미디어젠은 플래시블레이드를 통해 최대 12개월이 소요되던 음성인식 모델링 작업을 2주(96% 향상)로 단축하고 멀티GPU 분산 처리 환경을 지원할 수 있는 고속 공유 스토리지를 통해 새로운 음성인식 모델을 단 4주 만에 생성해 AI 서비스의 시장 출시 기간을 단축,https://www.itbiznews.com//news/articleView.html?idxno=100110,오현식,"#퓨어스토리지,#올플래시스토리지,#오브젝트스토리지,#파일스토리지,#올플래시",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100110_96011_2734_v150.jpg
14,"2023.05.25 08:00",“LTE 대비 20배 빠르다” 과장광고…통신3사 과징금 336억 ‘철퇴’,SK텔레콤과 KT LG유플러스 등 국내 통신3사가 5G 이동통신 서비스의 데이터 전송 속도를 약 부풀려 광고했다가 수백억원대 과징금을 내게 됐다.공정거래위원회는 통신3사가 5G 속도를 거짓·과장 기만적으로 광고하고 자사 5G 서비스 속도가 가장 빠르다고 부당하게 비교광고한 행위에 대해 시정명령과 과징금 336억원(잠정)을 부과하기로 했다.관련 매출액에 따라 산정된 업체별 과징금은 SK텔레콤 168억3000만원 KT 139억3000만원 LGU+ 28억5000만원이다. 이번 과징금은 역대 표시광고법 위반사례 중 두 번째로 많은,https://www.itbiznews.com//news/articleView.html?idxno=100158,김소현,"#5G,#LTE,#과장광고,#정보비대칭성,#표시광고법,#통신3사,#공정위",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100158_96062_3515_v150.jpg
15,"2023.05.24 15:44",뉴타닉스 ‘닷넥스트 2023’서 신규 솔루션·서비스 공개,뉴타닉스가 미국 일리노이주 시카고에서 개최된 ‘닷넥스트 2023’ 컨퍼런스에서 클라우드-투-엣지 관리 솔루션 ‘뉴타닉스 센트럴’과 하이브리드·멀티클라우드 서비스형 플랫폼(PaaS)을 위한 ‘프로젝트 비콘’을 정식 공개했다.뉴타닉스 센트럴은 NCI(Nutanix Cloud Infra) 라이선스의 일부로 제공되는 뉴타닉스 센트럴은 퍼블릭클라우드 온프레미스 호스팅과 엣지 인프라 전반에 대한 클라우드-투-엣지 관리 솔루션이이다. 분산된 뉴타닉스 환경 전반에 대한 클라우드 제공 통합 관리와 보고 기능을 단일 위치에서 제공한다.이를 통해,https://www.itbiznews.com//news/articleView.html?idxno=99956,오현식,"#뉴타닉스,#HCI,#하이퍼컨버지드인프라",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99956_95929_1827_v150.jpg
16,"2023.05.24 09:52",베리타스 파트너 프로그램 개편…채널·MSP 대상 리소스 개선 지원,베리타스가 파트너 리워드 정책인 ‘베리타스 파트너 포스 프로그램’을 개편했다고 발표했다. 4월부터 시작된 2024 회계연도에 맞춰 실행된 새로운 파트너 프로그램은 클라우드 비즈니스로의 신속한 전환에 초점을 맞췄다.이번에 개편된 프로그램은 소프트웨어 서비스 어플라이언스 간 구분 없이 하나의 포괄적인 타겟만 달성하도록 간소화돼 파트너가 각자의 강점에 집중해 멤버십 레벨별 요구 사항을 보다 쉽게 달성하도록 했다. 캠페인 참여 신규 고객 유치 시 추가 보상을 받을 수 있게 함으로써 신규 고객 확보에 역량을 기울이도록 하는 보상책도 포,https://www.itbiznews.com//news/articleView.html?idxno=99814,오현식,"#베리타스,#데이터 보호,#채널 파트너,#파트너 프로그램",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99814_95916_518_v150.jpg
17,"2023.05.24 08:05",LGU+ 산·학·법조계 외부전문가 참여 ‘정보보호자문위’ 신설,LG유플러스가 사이버보안 영역 강화를 위해 외부 전문가들과 힘을 모은다. 올해 초 자사 고객정보 유출과 디도스(DDos) 장애에 따른 인터넷 장애 사건 후 지난 2월 발표한 사이버보안 혁신활동의 일환이다.LG유플러스는 전날(23일) 사이버보안 분야의 외부 전문가들로 구성된 ‘정보보호자문위원회’를 발족하고 첫 회의를 열었다.위촉된 위원들은 총 7명으로 이기주 김앤장 법률사무소 정보보호연구소장·고문이 자문위 총괄 위원장을 맡았다. 이기주 위원장은 2020년부터 한국CISO(정보보호최고책임자)협의회 회장도 맡고 있다. 이외 ▲김진환 법률,https://www.itbiznews.com//news/articleView.html?idxno=100010,김소현,"#보안,#네트워크,#개인정보,#정보보호자문위,#LG유플러스",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/100010_95908_5058_v150.jpg
18,"2023.05.23 15:50",HPE 신규 ‘에즈메랄 소프트웨어 플랫폼’ 출시,HPE가 멀티클라우드 환경에서 데이터를 통합해 활용할 수 있도록 돕는 새로운 ‘HPE 에즈메랄 소프트웨어 플랫폼’을 출시했다. 이 플랫폼은 하이브리드·멀티클라우드 환경에서 예측가능한 서비스형 소프트웨어(SaaS)를 제공해 전세계 데이터를 통합적으로 활용하고 다양한 규모로 애널리틱스를 구축할 수 있도록 설계됐다.HPE는 엣지에서 클라우드에 이르는 HPE 그린레이크 데이터·애널리틱스 역량을 확대 인공지능(AI/ML) 프로젝트를 위한 데이터와 애널리틱스의 기반을 제공하는 점과 새로운 유저인터페이스(UI)를 통해 널리 알려진 데이터 소,https://www.itbiznews.com//news/articleView.html?idxno=99728,오현식,"#HPE,#데이터 분석,#데이터 애널리틱스,#에즈메랄 소프트웨어",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99728_95608_3823_v150.jpg
19,"2023.05.23 14:34",보안 포트폴리오 확장한 IBM ‘시큐리티 큐레이더 스위트’ 공개,IBM이 인시던트 라이프사이클 전반에서 보안 분석가 경험을 통합하고 향상시키는 새로운 보안 제품군 ‘시큐리티 큐레이더 스위트’를 출시했다. 시큐리티 큐레이더 스위트는 기존 큐레이더 브랜드를 확장한 포트폴리오로 모든 주요 위협탐지와 조사·대응 기술을 포괄한다.아마존웹서비스(AWS)에서 서비스형(SaaS)으로 제공되는 IBM 시큐리티 큐레이터 스위트는 하이브리드클라우드를 위해 설계된 개방형 모델을 기반으로 첨단 인공지능(advanced AI)과 자동화 기능을 내장해 분석가의 작업 속도 효율성 정확성 향상을 지원한다고 IBM은 소개했,https://www.itbiznews.com//news/articleView.html?idxno=99810,오현식,"#IBM,#보안,#정보보안,#사이버 위협",https://www.cwn.krhttps://cdn.itbiznews.com/news/thumbnail/202305/99810_95699_1913_v150.jpg
