"idx","news_date","news_title","news_text_sm","url_in","news_writer","tags_string","thumb_addr","news_key"
30,"2022.05.31",타입스크립트 4.7 출시…“노드.js 16용 ESM 지원”,‘타입스크립트 4.7(TypeScript 4.7)’이 프로덕션 릴리즈로 출시됐다. 마이크로소프트가 자바스크립트에 정적 타입 문법을 추가해 만든 이 오픈소스 프로그래밍 언어의 최신 버전은 노드.js 16(Node.js 16)에 ECMA스크립트(ESM) ...,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238369,Anirban Ghoshal?,,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-80716126.300x240.jpg,마이크로소프트
31,"2022.06.02","유니티, ‘MWU 코리아 어워드 2022’ 개최…7월 1일부터 접수 시작",유니티 코리아가 국내 유니티 크리에이터를 위한 ‘MWU 코리아 어워드 2022(Made with Unity Korea Awards 2022)’를 개최한다고 밝혔다.?2017년부터 진행된 ‘MWU 코리아 어워드’는 유니티 엔진 기반의 우...,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238629,Matthew Tyson,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/Unity_0602.300x240.png,유니티
32,"2022.06.02","프론트엔드 아키텍처의 진화, 리액티브 자바스크립트","현재 소프트웨어 개발에서 가장 역동적인 분야는 프론트 엔드 아키텍처다. 동적인 사용자 인터페이스를 구축하기 위한 더욱 강력한 방법을 고안하고자 여러 혁신가들이 첨단 기술을 발전시키고 있다. 이들 작업은 대부분 맹렬한 속도로, 공개적으로 진행되고 있다....",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238569,Josh Fruhlinger,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1035789076.300x240.jpg,자바스크립트
33,"2022.06.02",데이터가 서말이라도 '쉬워야' 꿴다…전천후 멀티툴 '파이썬'이 뜬다,파이썬은 R을 넘어서지는 못했을 수 있다. 하지만 사용 편의성과 이에 힘입은 인기 덕에 머지않아 데이터 과학 분야의 주류가 될 조짐이 보인다.?넷플릭스의 제품 혁신 및 개인화 담당 본부장 크리스틴 도이그는 “(넷플릭스에 데이터 과학 팀...,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238534,Lucas Mearian,,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-1040410478.300x240.jpg,파이썬
34,"2022.06.02",개발·전략 모두 할 수 있다면··· ‘코딩 리더’에 주목할 이유,"개발자의 정년은 짧아서 관리직 전환만이 유일한 전망이며, 이러한 전환은 현업으로 돌아갈 수 없는 외길이라는 인식이 많다. 하지만 이러한 인식이 바뀌고 있다.?소프트웨어 업계의 많은 리더가 개발자 출신이다. 개발자는 기술에 능숙해지고 자신감...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238519,Paul Krill?,,https://www.itworld.co.kr/files/ciokr/2022/05/GettyImages-503484300.300x240.jpg,코딩 리더
35,"2022.06.03",블로그 | 애플이 앱스토어 해킹 통계를 공개한 이유,"애플이 수백만 건에 해당하는 부정행위가 매해 앱 스토어와 사용자에게 시도되고 있다며 관련 수치를 공개했다.?또한 2021년 기준 15억 달러 규모의 사기 거래를 막아냈으며, 2020년에도 비슷한 규모의 조치를 취했다고 밝혔다.?...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238834,Paul Krill?,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/appstore_exploit.300x240.jpg,애플
36,"2022.06.03",우리가 알던 '기술 부채' 통념은 모두 틀렸다,"“빚은 여느 덫과 다르지 않다. 들어가기는 쉽고, 빠져나오기는 어렵다.” (조시 빌링스, 미국의 유머 작가)IT 분야에서도 마찬가지다. 삶에서와 똑같이 말 자체만으로도 스트레스를 받고 짐스러운 느낌이 든다. 소프트웨어 엔지니어링에서 '기술 부채(...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238829,편집부,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1142207430.300x240.jpg,기술부채
37,"2022.06.03",자바19에 추가될 핵심 기능 7가지,"올 9월 출시될 자바 개발 키트(JDK) 19 버전의 7번째 기능으로 구조적 동시성이 추가됐다. 멀티쓰레드 프로그래밍을 간편하게 지원하기 위한 요소다. 구조적 동시성 외에 미리 공개된 6가지 핵심 기능에는 레코드 패턴, 외부 함수와 메모리API(프리뷰...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238814,Jonny Evans,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/java19_jdk19_new_features.300x240.jpg,자바
38,"2022.06.07",C++ 23에서 컴파일 더 빨라진다,오는 2023년 완성될 예정인 C++ 프로그래밍 언어의 차기 버전 ‘C++ 23’은 표준 라이브러리 모듈과 더 빠른 컴파일을 지원한다.?C++을 개발한 비얀 스트로스트룹은 이번 업그레이드에 표준 라이브러리 모듈(std)과 코루틴 일부 지원이 ...,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/238844,Matthew Tyson,,https://www.itworld.co.kr/files/ciokr/2022/06/GettyImages-857874124.300x240.jpg,C++
39,"2022.06.08",“자바가 더 좋아지는 방법” JDK 개선 제안 프로세스와 최신 JEP,"자바는 널리 사용되며 많은 요소가 자바에 의존하는 만큼 소프트웨어 인프라의 중요한 한 부분이다. 이 때문에 자바 플랫폼은 안정성을 중시하지만, 한편으로는 변화하는 환경에 적극적으로 대응하고 있다. 자바를 사용하는 사람들의 창의성도 이런 변화에 한몫한다...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239204,Matthew Tyson,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-480386141.300x240.jpg,자바
40,"2022.06.08",블로그 | 서버리스와 컨테이너의 결합에 주목하라,"서버리스 컴퓨팅이 클라우드 업계의 핵심 서비스로 자리 잡고 있다. 클라우드 모니터링 서비스 업체 데이터도그(DataDog)가 6월에 공개한 보고서에 따르면,?기업 절반 이상이 아마존, 마이크로소프트, 구글 중 한 곳에서 서버리스 컴퓨팅을 사용...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239199,Neal Weinberg,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/hands-cropping-picture-frame_arrows_trends_forward-thinking_future-trends_by-photo-by-ian-noble-on-unsplash-100819127-large.300x240.jpg,AWS
41,"2022.06.09",개발자가 알아야 할 클라우드 비용 절감 팁 12가지,일부 개발자는 컴퓨팅 비용의 관리를 데브옵스팀의 책임이라고 생각한다. 소프트웨어를 코딩하고 배포하지만 비용은 걱정하지 않는 것이다. 잘못된 생각이다.현명한 개발자는 자신의 코딩 결과물이 회사의 재무에 큰 차이를 만든다는 사실을 알고 있다. 용량이 ...,https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239414,Serdar Yegulalp,,https://www.itworld.co.kr/files/ciokr/2022/06/GettyImages-1178539069.300x240.jpg,클라우드 비용
42,"2022.06.09","슬랙?깃허브?구글 드라이브를 따로 검색하는 데 지쳤다면? ""SQL로 한꺼번에""","누구나 항상 겪는 일이다. 찾는 단어가 도대체 어디에 있는지 알 수 없어서 슬랙, 깃허브, 구글 드라이브, 구글 시트, 젠데스크 등 다양한 서비스를 일일이 다 뒤져 보는 일이다. 이때 스팀파이프(Steampipe) 대시보드를 사용하면 이 과정을 매끄럽...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239399,Serdar Yegulalp,,https://www.itworld.co.kr/files/itworld/ITW_202206_01/GettyImages-1043738948.300x240.jpg,SQL
43,"2022.06.09","머신러닝 라이브러리 대표주자, 텐서플로우의 이해","머신러닝은 복잡한 분야지만 머신러닝 모델을 구현하는 과정은 데이터 수집, 모델 교육, 예측 수행, 이후 결과 조정 과정을 쉽게 해주는 구글 텐서플로우(TensorFlow)와 같은 머신러닝 프레임워크 덕분에 과거에 비해 훨씬 더 간편해졌다.?...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239234,Paul Krill,,https://www.itworld.co.kr/files/itworld/ITW_202205_02/GettyImages-1277229020.300x240.jpg,텐서플로우
44,"2022.06.09","깃허브, 러스트 언어용 공급망 보안 도구 추가","깃허브의 여러 공급망 보안 기능을?러스트 카고(Rust Cargo) 파일에 사용할 수 있게 됐다.?자문 데이터베이스(Advisory Database), 디펜더봇 경보(Dependabot Alerts), 디펜던시 그래프(Dependen...",https://www.itworld.co.kr/t/61023/%EA%B0%9C%EB%B0%9C%EC%9E%90/239214,Anirban Ghoshal,,https://www.itworld.co.kr/files/ciokr/2022/06/luke-chesser-LG8ToawE8WQ-unsplash.300x240.jpg,러스트
